id,notes
scienceofenglish00laniuoft,Foundational scientific study of English verse by poet-musician Sidney Lanier. Core PPA text.
orthometrytreati00brewrich,Comprehensive technical reference covering rhyme, metre, and stanza forms.
elementsofenglis00ruskrich,Short pedagogical treatise by John Ruskin for school use.
historyofenglish01gues,First systematic historical study of English metre; vol. 1 of 2. Highly influential.
handbookofmodern00mayorich,Cambridge handbook covering accentual-syllabic scansion debates ca. 1900.
elementsofenglis00briguoft,College textbook introduction to versification; covers syllabic and accentual metre.
blankverse00symoiala,Critical and historical study of blank verse from Surrey through the 19th century.
chaptersonengli00stofgoog,Philological study of printing, prosody, and pronunciation 1550-1700.
inquiryintoprinc00mitfiala,Early-19th-century inquiry into acoustic principles of harmony in language and verse.
elementsofenglis00roeruoft,Early systematic treatment of English metre in prose and verse (1801).
